Iteration,Selfish Strategy,Honest Strategy
1143,Selfish,Honest
1144,Selfish,Honest
1145,Selfish,Honest
1146,Selfish,Honest
1147,Selfish,Honest
1148,Selfish,Honest
1149,Selfish,Honest
1150,Selfish,Honest
1151,Selfish,Honest
1152,Selfish,Honest
1153,Selfish,Honest
1154,Selfish,Honest
1155,Selfish,Honest
1156,Selfish,Honest
1157,Selfish,Honest
1158,Selfish,Honest
1159,Selfish,Honest
1160,Selfish,Honest
1161,Selfish,Honest
1162,Selfish,Honest
1163,Selfish,Honest
1164,Selfish,Honest
1165,Selfish,Honest
1166,Selfish,Honest
1167,Selfish,Honest
1168,Selfish,Honest
1169,Selfish,Honest
1170,Selfish,Honest
1171,Selfish,Honest
1172,Selfish,Honest
1173,Selfish,Honest
1174,Selfish,Honest
1175,Selfish,Honest
1176,Selfish,Honest
1177,Selfish,Honest
1178,Selfish,Honest
1179,Selfish,Honest
1180,Selfish,Honest
1181,Selfish,Honest
1182,Selfish,Honest
1183,Selfish,Honest
1184,Selfish,Honest
1185,Selfish,Honest
1186,Selfish,Honest
1187,Selfish,Honest
1188,Selfish,Honest
1189,Selfish,Honest
1190,Selfish,Honest
1191,Selfish,Honest
1192,Selfish,Honest
1193,Selfish,Honest
1194,Selfish,Honest
1195,Selfish,Honest
1196,Selfish,Honest
1197,Selfish,Honest
1198,Selfish,Honest
1199,Selfish,Honest
1200,Selfish,Honest
1201,Selfish,Honest
1202,Selfish,Honest
1203,Selfish,Honest
1204,Selfish,Honest
1205,Selfish,Honest
1206,Selfish,Honest
1207,Selfish,Honest
1208,Selfish,Honest
1209,Selfish,Honest
1210,Selfish,Honest
1211,Selfish,Honest
1212,Selfish,Honest
1213,Selfish,Honest
1214,Selfish,Honest
1215,Selfish,Honest
1216,Selfish,Honest
1217,Selfish,Honest
1218,Selfish,Honest
1219,Selfish,Honest
1220,Selfish,Honest
1221,Selfish,Honest
1222,Selfish,Honest
1223,Selfish,Honest
1224,Selfish,Honest
1225,Selfish,Honest
1226,Selfish,Honest
1227,Selfish,Honest
1228,Selfish,Honest
1229,Selfish,Honest
1230,Selfish,Honest
1231,Selfish,Honest
1232,Selfish,Honest
1233,Selfish,Honest
1234,Selfish,Honest
1235,Selfish,Honest
1236,Selfish,Honest
1237,Selfish,Honest
1238,Selfish,Honest
1239,Selfish,Honest
1240,Selfish,Honest
1241,Selfish,Honest
1242,Selfish,Honest
